author,title,link,year
Yezhou Yang,Neural style transfer: A review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:ALROH1vI_8AC,2019
Yezhou Yang,Corpus-guided sentence generation of natural images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:W7OEmFMy1HYC,2011
Yezhou Yang,Robot Learning Manipulation Action Plans by “Watching” Unconstrained Videos from the World Wide Web,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:_axFR9aDTf0C,2015
Yezhou Yang,ViTAA: Visual-Textual Attributes Alignment in Person Search by Natural Language,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:1yWc8FF-_SYC,2020
Yezhou Yang,Transductive Unbiased Embedding for Zero-Shot Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:HeT0ZceujKMC,2018
Yezhou Yang,SEED: Self-supervised Distillation For Visual Representation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:Br1UauaknNIC,2021
Yezhou Yang,Image Understanding using Vision and Reasoning through Scene Description Graph,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:bKqednn6t2AC,2017
Yezhou Yang,MUTANT: A Training Paradigm for Out-of-Distribution Generalization in Visual Question Answering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:WHdLCjDvYFkC,2020
Yezhou Yang,Injecting Semantic Concepts into End-to-End Image Captioning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:kWvqk_afx_IC,2022
Yezhou Yang,Stroke controllable fast style transfer with adaptive receptive fields,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k2suuZgAAAAJ&citation_for_view=k2suuZgAAAAJ:yMeIxYmEMEAC,2018
