author,title,year,link,ss_title,ss_url,ss_venue,ss_year,ss_authors,ss_abstract
Huan Liu,Feature selection for classification,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:u5HHmVD_uO8C,,,,,,
Huan Liu,Fake news detection on social media: A data mining perspective,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:xlqdyEAzORMC,,,,,,
Huan Liu,Feature selection: A data perspective,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:H08txkXQ-cAC,Exploring Large Language Models for Feature Selection: A Data-centric Perspective,https://www.semanticscholar.org/paper/5cb8f11c36acb61ebe4aa8d6ab1c442d5ad7c0f3,SIGKDD Explorations,2024,"Dawei Li, Zhen Tan, Huan Liu","The rapid advancement of Large Language Models (LLMs) has significantly influenced various domains, leveraging their exceptional few-shot and zero-shot learning capabilities. In this work, we aim to explore and understand the LLMs-based feature selection methods from a data-centric perspective. We begin by categorizing existing feature selection methods with LLMs into two groups: data-driven feature selection which requires numerical values of samples to do statistical inference and text-based feature selection which utilizes prior knowledge of LLMs to do semantical associations using descriptive context. We conduct experiments in both classification and regression tasks with LLMs in various sizes (e.g., GPT-4, ChatGPT, and LLaMA-2). Our findings emphasize the effectiveness and robustness of text-based feature selection methods and showcase their potentials using a real-world medical application. We also discuss the challenges and future opportunities in employing LLMs for feature selection, offering insights for further research and development in this emerging field."
Huan Liu,Cross-validation,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:XvxMoLDsR5gC,Practical Bayesian model evaluation using leave-one-out cross-validation and WAIC,https://www.semanticscholar.org/paper/cbc2a612e973491f1b49dffad465c94eed03108d,Statistics and computing,2015,"Aki Vehtari, A. Gelman, Jonah Gabry","Leave-one-out cross-validation (LOO) and the widely applicable information criterion (WAIC) are methods for estimating pointwise out-of-sample prediction accuracy from a fitted Bayesian model using the log-likelihood evaluated at the posterior simulations of the parameter values. LOO and WAIC have various advantages over simpler estimates of predictive error such as AIC and DIC but are less used in practice because they involve additional computational steps. Here we lay out fast and stable computations for LOO and WAIC that can be performed using existing simulation draws. We introduce an efficient computation of LOO using Pareto-smoothed importance sampling (PSIS), a new procedure for regularizing importance weights. Although WAIC is asymptotically equal to LOO, we demonstrate that PSIS-LOO is more robust in the finite case with weak priors or influential observations. As a byproduct of our calculations, we also obtain approximate standard errors for estimated predictive errors and for comparison of predictive errors between two models. We implement the computations in an R package called loo and demonstrate using models fit with the Bayesian inference package Stan."
Huan Liu,Toward integrating feature selection algorithms for classification and clustering,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:d1gkVwhDpl0C,Toward integrating feature selection algorithms for classification and clustering,https://www.semanticscholar.org/paper/185e7e2d397478d0d81b89c6f712b1fa7d62c979,IEEE Transactions on Knowledge and Data Engineering,2005,"Huan Liu, Lei Yu",
Huan Liu,Feature selection for high-dimensional data: A fast correlation-based filter solution,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:2osOgNQ5qMEC,Feature Selection for High-Dimensional Data: A Fast Correlation-Based Filter Solution,https://www.semanticscholar.org/paper/b8d7788f25dfaf0f9fe2e6c441d75ca7cd3bc09a,International Conference on Machine Learning,2003,"Lei Yu, Huan Liu",
Huan Liu,Feature selection for knowledge discovery and data mining,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:QnvtoSqgJXcC,Feature Selection for Knowledge Discovery and Data Mining,https://www.semanticscholar.org/paper/91632054692c2ad24f5dd64396f36a4c01be165c,,1998,"Ron Kohavi, George H. John",
Huan Liu,Efficient feature selection via analysis of relevance and redundancy,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:9yKSN-GCB0IC,Efficient Feature Selection via Analysis of Relevance and Redundancy,https://www.semanticscholar.org/paper/de3b02b459a37cfc71f9675647eba8d71aa57476,Journal of machine learning research,2004,"Lei Yu, Huan Liu",
Huan Liu,Feature selection for classification: A review,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:UhchJFpsXkYC,,,,,,
Huan Liu,Subspace clustering for high dimensional data: a review,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:qjMakFHDy7sC,,,,,,
Huan Liu,Computational Methods of Feature Selection,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:8d8msizDQcsC,Computational Methods of Feature Selection,https://www.semanticscholar.org/paper/45417badfeb7b9f974b706f265afd66a94bf9060,,,D. Stracuzzi,
Huan Liu,"Fakenewsnet: A data repository with news content, social context, and spatiotemporal information for studying fake news on social media",2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:QEdBKvMvu1gC,"FakeNewsNet: A Data Repository with News Content, Social Context, and Spatiotemporal Information for Studying Fake News on Social Media",https://www.semanticscholar.org/paper/eed1a4b3ec3b6de0fd1f0b8b2ec969b540fe41a0,Big Data,2018,"Kai Shu, Deepak Mahudeswaran, Suhang Wang, Dongwon Lee, Huan Liu","Social media has become a popular means for people to consume and share the news. At the same time, however, it has also enabled the wide dissemination of fake news, that is, news with intentionally false information, causing significant negative effects on society. To mitigate this problem, the research of fake news detection has recently received a lot of attention. Despite several existing computational solutions on the detection of fake news, the lack of comprehensive and community-driven fake news data sets has become one of major roadblocks. Not only existing data sets are scarce, they do not contain a myriad of features often required in the study such as news content, social context, and spatiotemporal information. Therefore, in this article, to facilitate fake news-related research, we present a fake news data repository FakeNewsNet, which contains two comprehensive data sets with diverse features in news content, social context, and spatiotemporal information. We present a comprehensive description of the FakeNewsNet, demonstrate an exploratory analysis of two data sets from different perspectives, and discuss the benefits of the FakeNewsNet for potential applications on fake news study on social media."
Huan Liu,Chi2: Feature selection and discretization of numeric attributes,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:YsMSGLbcyi4C,,,,,,
Huan Liu,Discretization: An enabling technique,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:UeHWp8X0CEIC,Discretization: An Enabling Technique,https://www.semanticscholar.org/paper/14ab9b121a6efab3c11c7db82513628013ec9b04,Data mining and knowledge discovery,2002,"Huan Liu, F. Hussain, C. Tan, M. Dash",
Huan Liu,Is the sample good enough? Comparing data from Twitter's streaming API with Twitter's firehose,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:PUVU9ZnMOtMC,,,,,,
Huan Liu,"Feature extraction, construction and selection: A data mining perspective",1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:zYLM7Y9cAGgC,"Feature Extraction, Construction and Selection: A Data Mining Perspective",https://www.semanticscholar.org/paper/a3046db7e02e302fe9661074e238be790f52c3b0,,1998,"Huan Liu, Hiroshi Motoda",
Huan Liu,Spectral feature selection for supervised and unsupervised learning,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:Zph67rFs4hoC,Spectral feature selection for supervised and unsupervised learning,https://www.semanticscholar.org/paper/822b444a9c6920ee5e7952a50121990715d4ddd1,International Conference on Machine Learning,2007,"Zheng Zhao, Huan Liu",
Huan Liu,Consistency-based search in feature selection,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:ufrVoPGSRksC,,,,,,
Huan Liu,Social Media Mining: An Introduction,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:68pgvIssxt4C,Social Media Mining: An Introduction,https://www.semanticscholar.org/paper/7a6b0e84893186577f3602691708d77fdb6048f9,,2014,"R. Zafarani, Mohammad Ali Abbasi, Huan Liu",
Huan Liu,A probabilistic approach to feature selection-a filter solution,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Dzf46C8AAAAJ&citation_for_view=Dzf46C8AAAAJ:IjCSPb-OGe4C,A Probabilistic Approach to Feature Selection - A Filter Solution,https://www.semanticscholar.org/paper/7285ee82aa0cde847fafb8b1109dd19dbdc04e35,International Conference on Machine Learning,1996,"Huan Liu, Rudy Setiono",
Subbarao Kambhampati,What we instagram: A first analysis of instagram photo content and user types,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yl3L07sAAAAJ&citation_for_view=yl3L07sAAAAJ:uDGL6kOW6j0C,,,,,,
